,t,z
0,0.0,1.0
1,0.01,1.0399500004166653
2,0.02,1.0798000066665778
3,0.03,1.1195500337489874
4,0.04,1.1592001066609778
5,0.05,1.1987502603949662
6,0.06,1.238200539935204
7,0.07,1.2775510002532795
8,0.08,1.3168017063026194
9,0.09,1.3559527330119943
10,0.1,1.3950041652780256
11,0.11,1.4339560979566968
12,0.12,1.4728086358538661
13,0.13,1.511561893714788
14,0.14,1.5502159962126372
15,0.15,1.5887710779360422
16,0.16,1.627227283375627
17,0.17,1.6655847669095607
18,0.18,1.7038436927881215
19,0.19,1.7420042351172702
20,0.2,1.7800665778412417
21,0.21,1.8180309147241482
22,0.22,1.8558974493306055
23,0.23,1.893666395005375
24,0.24,1.9313379748520296
25,0.25,1.9689124217106446
26,0.26,2.0063899781345134
27,0.27,2.0437708963658907
28,0.28,2.081055438310771
29,0.29,2.118243875512697
30,0.3,2.155336489125606
31,0.31,2.1923335698857134
32,0.32,2.2292354180824407
33,0.33,2.266042343528387
34,0.34,2.3027546655283464
35,0.35000000000000003,2.339372712847379
36,0.36,2.3758968236779348
37,0.37,2.4123273456060343
38,0.38,2.4486646355765105
39,0.39,2.484909059857313
40,0.4,2.521060994002885
41,0.41000000000000003,2.5571208228166054
42,0.42,2.5930889403123083
43,0.43,2.628965749674885
44,0.44,2.6647516632199633
45,0.45,2.700447102352677
46,0.46,2.7360524975255256
47,0.47000000000000003,2.771568288195329
48,0.48,2.806994922779284
49,0.49,2.8423328586101215
50,0.5,2.8775825618903728
51,0.51,2.912744507645751
52,0.52,2.94781917967765
53,0.53,2.9828070705147613
54,0.54,3.0177086813638243
55,0.55,3.052524522059506
56,0.56,3.087255111013416
57,0.5700000000000001,3.121900975162269
58,0.58,3.156462649915187
59,0.59,3.190940679100163
60,0.6,3.225335614909678
61,0.61,3.259648017845479
62,0.62,3.293878456662534
63,0.63,3.328027508312152
64,0.64,3.3620957578842927
65,0.65,3.396083798549056
66,0.66,3.429992231497365
67,0.67,3.4638216658808494
68,0.68,3.497572718750928
69,0.6900000000000001,3.531246014997107
70,0.7000000000000001,3.564842187284489
71,0.71,3.5983618759905083
72,0.72,3.631805729140895
73,0.73,3.6651744023448702
74,0.74,3.698468558729588
75,0.75,3.731688868873821
76,0.76,3.7648360107409053
77,0.77,3.7979106696109435
78,0.78,3.830913538012277
79,0.79,3.8638453156522363
80,0.8,3.896706709347166
81,0.81,3.929498432951747
82,0.8200000000000001,3.9622212072876137
83,0.8300000000000001,3.9948757600712677
84,0.84,4.027462825841308
85,0.85,4.059983145884982
86,0.86,4.092437468164052
87,0.87,4.124826547240001
88,0.88,4.15715114419858
89,0.89,4.189412026573697
90,0.9,4.2216099682706645
91,0.91,4.253745749488812
92,0.92,4.285820156643463
93,0.93,4.317833982287299
94,0.9400000000000001,4.349788025031098
95,0.9500000000000001,4.381683089463884
96,0.96,4.4135199860724565
97,0.97,4.445299531160354
98,0.98,4.477022546766217
99,0.99,4.508689860581588
100,1.0,4.54030230586814
